customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_purpose,loan_status,disbursement_date,disbursed_amount,outstanding_principal,interest_rate,original_tenure_months,remaining_tenure_months,emi_amount,emi_due_date,last_payment_date,collateral_provided,account_id
LOAN00316,CUST00753,LN006,Education Loan,Education,Education,Active,2024-01-30,199516,158504.38,10.5,180,143,2205.45,28,2026-07-23,No,ACC00841
LOAN00317,CUST00758,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-04-14,427167,142389.0,13.5,12,4,38253.67,1,2026-08-04,No,ACC00846
LOAN00318,CUST00759,LN002,Home Loan,Home,Home Purchase / Construction,Active,2024-04-21,6323420,4232611.77,8.7,124,83,77479.6,26,2026-07-30,Yes,ACC00847
LOAN00319,CUST00760,LN001,Personal Loan,Personal,General,Active,2022-01-25,2883306,720826.5,13.0,48,12,77351.88,14,2026-07-17,No,ACC00848
LOAN00320,CUST00762,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2019-11-05,346996,289163.33,15.5,24,20,16907.22,18,2026-08-10,Yes,ACC00850
LOAN00321,CUST00771,LN007,Gold Loan,Gold,Personal / Emergency,Active,2022-08-12,3028863,232989.46,8.5,13,1,244704.91,19,2026-07-25,Yes,ACC00861
LOAN00322,CUST00772,LN002,Home Loan,Home,Home Purchase / Construction,Active,2025-03-03,8523088,6742144.24,8.7,67,53,161049.65,12,2026-08-04,Yes,ACC00863
LOAN00323,CUST00774,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-07-23,1001944,412565.18,8.75,34,14,33379.41,10,2026-07-29,Yes,ACC00865
LOAN00324,CUST00776,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-08-02,16034915,12026186.25,13.5,40,30,500024.59,26,2026-07-16,No,ACC00868
LOAN00325,CUST00785,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-08-01,360409,270306.75,15.5,20,15,20563.69,11,2026-07-26,Yes,ACC00878
LOAN00326,CUST00787,LN001,Personal Loan,Personal,General,Active,2021-11-13,1563182,1181918.1,13.0,41,31,47421.19,4,2026-07-23,No,ACC00881
LOAN00327,CUST00792,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2015-10-13,6335277,1583819.25,8.75,76,19,108874.65,26,2026-07-24,Yes,ACC00886
LOAN00328,CUST00797,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-12-18,314644,224745.71,15.5,14,10,24712.3,15,2026-07-24,Yes,ACC00892
LOAN00329,CUST00798,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-12-03,218951,167433.12,8.75,34,26,7294.27,7,2026-07-27,Yes,ACC00893
LOAN00330,CUST00799,LN004,Used Car Loan,Auto,General,Active,2024-01-16,1589732,124684.86,12.5,51,4,40339.09,28,2026-08-15,Yes,ACC00894
LOAN00331,CUST00803,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-08-16,304636,240502.11,15.5,38,30,10195.13,13,2026-07-31,Yes,ACC00898
LOAN00332,CUST00807,LN001,Personal Loan,Personal,General,Active,2021-01-13,3777613,2385860.84,13.0,19,12,221056.52,6,2026-07-30,No,ACC00902
LOAN00333,CUST00809,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-05-15,392518,294388.5,13.5,12,9,35150.78,21,2026-07-28,No,ACC00904
LOAN00334,CUST00810,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2025-06-20,248405,30109.7,9.5,66,8,4846.77,13,2026-07-15,Yes,ACC00905
LOAN00335,CUST00811,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-08-09,237808,39634.67,13.5,12,2,21296.19,27,2026-07-18,No,ACC00906
LOAN00336,CUST00814,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-12-14,12149896,4628531.81,8.75,63,24,241221.66,10,2026-08-12,Yes,ACC00909
LOAN00337,CUST00815,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-12-05,361900,247615.79,15.5,38,26,12111.56,10,2026-07-30,Yes,ACC00910
LOAN00338,CUST00817,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-10-11,416869,69478.17,13.5,12,2,37331.46,6,2026-07-17,No,ACC00912
LOAN00339,CUST00818,LN002,Home Loan,Home,Home Purchase / Construction,Active,2020-10-06,11361102,6106592.33,8.7,80,43,187656.8,3,2026-07-14,Yes,ACC00913
LOAN00340,CUST00819,LN007,Gold Loan,Gold,Personal / Emergency,Active,2023-09-27,1109123,138640.38,8.5,24,3,50415.93,23,2026-07-17,Yes,ACC00914
LOAN00341,CUST00821,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-11-29,26365,732.36,15.5,36,1,920.42,17,2026-07-20,Yes,ACC00916
LOAN00342,CUST00822,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-12-07,347181,173590.5,13.5,12,6,31090.76,13,2026-08-16,No,ACC00917
LOAN00343,CUST00823,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2022-06-11,10533939,1560583.56,13.5,27,4,454568.2,16,2026-07-26,No,ACC00918
LOAN00344,CUST00825,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-06-06,125392,10449.33,13.5,12,1,11229.11,12,2026-07-24,No,ACC00920
LOAN00345,CUST00826,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-08-27,115650,32125.0,15.5,18,5,7242.04,19,2026-08-05,Yes,ACC00921
LOAN00346,CUST00827,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-04-19,1426366,125855.82,13.5,34,3,50718.2,16,2026-07-16,No,ACC00922
LOAN00347,CUST00829,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2020-01-17,1015024,371698.93,9.5,71,26,18743.39,14,2026-07-20,Yes,ACC00924
LOAN00348,CUST00830,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-02-23,358248,219571.35,15.5,31,19,14097.56,18,2026-08-14,Yes,ACC00925
LOAN00349,CUST00831,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-08-19,139765,40906.83,15.5,41,12,4412.32,26,2026-08-08,Yes,ACC00926
LOAN00350,CUST00834,LN001,Personal Loan,Personal,General,Active,2020-12-24,1023517,784696.37,13.0,30,23,40143.92,9,2026-07-16,No,ACC00929
LOAN00351,CUST00836,LN009,Working Capital Finance,Business,Working Capital,Active,2024-04-03,20854494,12165121.5,11.5,12,7,1848022.11,28,2026-07-25,Yes,ACC00931
LOAN00352,CUST00837,LN004,Used Car Loan,Auto,General,Active,2024-12-25,152718,32394.73,12.5,33,7,5492.53,19,2026-08-02,Yes,ACC00932
LOAN00353,CUST00838,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-07-05,2146530,1847646.08,8.75,79,68,35840.63,18,2026-08-02,Yes,ACC00933
LOAN00354,CUST00841,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2022-08-31,285924,190616.0,13.5,12,8,25605.07,5,2026-08-07,No,ACC00936
LOAN00355,CUST00845,LN004,Used Car Loan,Auto,General,Active,2019-09-08,778581,591721.56,12.5,25,19,35535.17,8,2026-07-17,Yes,ACC00940
LOAN00356,CUST00846,LN004,Used Car Loan,Auto,General,Active,2024-06-09,4786704,4273842.86,12.5,28,25,197977.26,22,2026-08-17,Yes,ACC00941
LOAN00357,CUST00848,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-11-27,2963095,311904.74,8.75,19,2,167571.67,18,2026-08-01,Yes,ACC00944
LOAN00358,CUST00851,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-12-12,140042,93361.33,13.5,12,8,12541.05,19,2026-07-24,No,ACC00947
LOAN00359,CUST00857,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2022-06-29,84588,56392.0,13.5,12,8,7575.03,20,2026-07-21,No,ACC00953
LOAN00360,CUST00859,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-07-31,342939,200047.75,13.5,12,7,30710.88,3,2026-07-19,No,ACC00955
LOAN00361,CUST00860,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-10-01,331448,180789.82,8.75,22,12,16361.26,25,2026-08-17,Yes,ACC00956
LOAN00362,CUST00861,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-04-10,242764,13872.23,15.5,35,2,8665.65,5,2026-07-21,Yes,ACC00957
LOAN00363,CUST00864,LN007,Gold Loan,Gold,Personal / Emergency,Active,2024-12-25,3350638,670127.6,8.5,5,1,684434.82,17,2026-07-18,Yes,ACC00960
LOAN00364,CUST00865,LN002,Home Loan,Home,Home Purchase / Construction,Active,2024-11-27,1306577,758657.61,8.7,62,36,26238.84,13,2026-07-24,Yes,ACC00961
LOAN00365,CUST00866,LN007,Gold Loan,Gold,Personal / Emergency,Active,2020-07-24,2459161,737748.3,8.5,20,6,132307.39,21,2026-08-11,Yes,ACC00962
LOAN00366,CUST00871,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-03-09,10724762,3785210.12,8.75,17,6,673070.98,20,2026-08-15,Yes,ACC00967
LOAN00367,CUST00874,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-10-22,226604,36889.02,15.5,43,7,6901.23,12,2026-08-10,Yes,ACC00970
LOAN00368,CUST00876,LN001,Personal Loan,Personal,General,Active,2025-11-16,3947767,2171271.85,13.0,20,11,220606.8,15,2026-07-15,No,ACC00972
LOAN00369,CUST00877,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-09-04,346182,57697.0,13.5,12,2,31001.3,5,2026-08-13,No,ACC00973
LOAN00370,CUST00878,LN001,Personal Loan,Personal,General,Active,2015-10-08,3601516,2626105.42,13.0,48,35,96619.66,27,2026-07-18,No,ACC00974
LOAN00371,CUST00879,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-07-12,143043,71521.5,13.5,12,6,12809.79,16,2026-07-25,No,ACC00976
LOAN00372,CUST00883,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-07-21,377390,62898.33,13.5,12,2,33796.04,26,2026-08-16,No,ACC00981
LOAN00373,CUST00886,LN001,Personal Loan,Personal,General,Active,2020-10-28,2850883,2310198.29,13.0,58,47,66459.29,26,2026-07-26,No,ACC00985
LOAN00374,CUST00888,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-01-03,227636,37939.33,13.5,12,2,20385.27,1,2026-08-12,No,ACC00987
LOAN00375,CUST00891,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2022-12-08,2073060,1360445.62,7.5,32,21,71678.8,19,2026-07-24,No,ACC00990
LOAN00376,CUST00896,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-10-04,10629598,8503678.4,8.75,30,24,395770.56,1,2026-07-22,Yes,ACC00995
LOAN00377,CUST00898,LN004,Used Car Loan,Auto,General,Active,2025-03-14,4910067,2021792.29,12.5,17,7,316652.92,22,2026-08-14,Yes,ACC00997
LOAN00378,CUST00903,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-03-14,422805,348814.12,15.5,40,33,13601.47,10,2026-08-01,Yes,ACC01002
LOAN00379,CUST00906,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2025-07-17,469465,259704.04,13.5,47,26,12915.8,2,2026-07-18,No,ACC01005
LOAN00380,CUST00908,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-04-15,286184,47697.33,13.5,12,2,25628.36,12,2026-07-26,No,ACC01007
LOAN00381,CUST00909,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2017-05-02,187594,46898.5,13.5,12,3,16799.42,2,2026-08-05,No,ACC01008
LOAN00382,CUST00910,LN001,Personal Loan,Personal,General,Active,2025-10-11,770557,154111.4,13.0,40,8,23840.83,28,2026-08-01,No,ACC01009
LOAN00383,CUST00914,LN001,Personal Loan,Personal,General,Active,2024-09-27,2914318,1760733.79,13.0,48,29,78183.85,3,2026-08-09,No,ACC01014
LOAN00384,CUST00917,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2023-03-06,264884,72241.09,7.5,11,3,24992.75,23,2026-07-30,No,ACC01017
LOAN00385,CUST00919,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-05-08,155829,77914.5,13.5,12,6,13954.8,15,2026-08-07,No,ACC01019
LOAN00386,CUST00926,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-02-12,22117322,539446.88,13.5,41,1,676362.98,16,2026-07-29,No,ACC01026
LOAN00387,CUST00931,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2023-10-10,194609,145956.75,13.5,12,9,17427.63,28,2026-08-10,No,ACC01031
LOAN00388,CUST00933,LN001,Personal Loan,Personal,General,Active,2020-06-30,2324136,68356.94,13.0,34,1,82082.57,9,2026-08-17,No,ACC01034
LOAN00389,CUST00934,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2020-01-31,36303,21176.75,13.5,12,7,3251.01,14,2026-08-02,No,ACC01035
LOAN00390,CUST00935,LN009,Working Capital Finance,Business,Working Capital,Active,2022-03-28,34003556,8500889.0,11.5,12,3,3013226.95,24,2026-07-14,Yes,ACC01036
LOAN00391,CUST00938,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2024-07-15,437957,336890.0,7.5,13,10,35181.26,15,2026-07-29,No,ACC01040
LOAN00392,CUST00939,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-11-13,219825,164868.75,13.5,12,9,19685.77,10,2026-07-18,No,ACC01041
LOAN00393,CUST00942,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2021-09-14,489490,81581.67,13.5,12,2,43834.82,27,2026-08-16,No,ACC01044
LOAN00394,CUST00943,LN009,Working Capital Finance,Business,Working Capital,Active,2023-09-28,36674757,18337378.5,11.5,12,6,3249935.57,10,2026-07-21,Yes,ACC01045
LOAN00395,CUST00944,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2019-05-31,481372,160457.33,13.5,12,4,43107.84,23,2026-07-27,No,ACC01047
LOAN00396,CUST00945,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2024-01-15,62004,31002.0,15.5,44,22,1856.19,20,2026-08-03,Yes,ACC01048
LOAN00397,CUST00950,LN002,Home Loan,Home,Home Purchase / Construction,Active,2022-03-21,5875681,3960403.77,8.7,181,122,58393.65,28,2026-08-03,Yes,ACC01053
LOAN00398,CUST00951,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2016-12-20,32704031,6540806.2,13.5,20,4,1835196.86,15,2026-07-24,No,ACC01054
LOAN00399,CUST00952,LN001,Personal Loan,Personal,General,Active,2025-07-15,2156030,1654627.67,13.0,43,33,62988.45,19,2026-08-01,No,ACC01055
LOAN00400,CUST00954,LN001,Personal Loan,Personal,General,Active,2024-01-19,2463330,439880.36,13.0,28,5,102464.71,11,2026-07-25,No,ACC01057
LOAN00401,CUST00956,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2017-01-27,29798623,7011440.71,13.5,17,4,1935628.66,24,2026-08-06,No,ACC01059
LOAN00402,CUST00959,LN004,Used Car Loan,Auto,General,Active,2024-09-18,3120442,2022508.7,12.5,54,35,75846.63,26,2026-08-03,Yes,ACC01064
LOAN00403,CUST00961,LN007,Gold Loan,Gold,Personal / Emergency,Active,2026-01-14,2112215,1056107.5,8.5,14,7,159010.16,1,2026-07-25,Yes,ACC01066
LOAN00404,CUST00962,LN001,Personal Loan,Personal,General,Active,2025-10-06,3994179,2662786.0,13.0,12,8,356749.19,24,2026-07-29,No,ACC01067
LOAN00405,CUST00965,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-07-01,9079878,4383389.38,13.5,58,28,213987.83,16,2026-07-26,No,ACC01070
LOAN00406,CUST00966,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2021-01-08,521745,289858.33,7.5,9,5,59798.33,24,2026-08-07,No,ACC01071
LOAN00407,CUST00967,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2019-03-05,355706,197614.44,15.5,36,20,12417.94,16,2026-08-10,Yes,ACC01072
LOAN00408,CUST00968,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2017-01-30,9004344,3554346.32,13.5,38,15,292514.11,13,2026-07-22,No,ACC01073
LOAN00409,CUST00971,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-09-07,13894219,5519621.25,8.75,73,29,246137.66,10,2026-07-17,Yes,ACC01076
LOAN00410,CUST00975,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2021-01-15,230960,184768.0,15.5,25,20,10869.18,14,2026-08-17,Yes,ACC01081
LOAN00411,CUST00976,LN006,Education Loan,Education,Education,Active,2022-08-12,171896,161371.76,10.5,49,46,4328.8,16,2026-07-25,No,ACC01082
LOAN00412,CUST00980,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-10-23,3654855,1770320.39,8.75,64,31,71668.98,11,2026-07-21,Yes,ACC01086
LOAN00413,CUST00983,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2025-12-28,2674356,2340061.5,13.5,40,35,83395.75,9,2026-08-05,No,ACC01090
LOAN00414,CUST00987,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2020-02-04,776340,258780.0,7.5,21,7,39562.93,15,2026-07-28,No,ACC01094
LOAN00415,CUST00989,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-01-13,4108050,3574537.01,8.75,77,67,69912.04,13,2026-07-26,Yes,ACC01096
LOAN00416,CUST00996,LN009,Working Capital Finance,Business,Working Capital,Active,2025-09-02,17292701,12969525.75,11.5,12,9,1532393.63,6,2026-07-26,Yes,ACC01103
LOAN00417,CUST00998,LN004,Used Car Loan,Auto,General,Active,2023-03-19,1690694,444919.47,12.5,19,5,98541.03,14,2026-07-19,Yes,ACC01105
LOAN00418,CUST00999,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-06-16,414899,318089.23,15.5,30,23,16770.17,4,2026-08-07,Yes,ACC01106
